,modelname,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
0,Axial Compressor Model,https://tech-labs.com/sites/default/files/Brc_SkillBoss_Form6700-A_11x17_email_L.PDF,https://tech-labs.com/sites/default/files/product_images/DAC-211A.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-211A-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-211A-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-211A.jpg
1,1-Phase Motor Control Training System with Magnetic Starter,https://tech-labs.com/sites/default/files/Axon%20Port%20Crane%20Simulators.pdf,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_421-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000-left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000-right.jpg
2,1-Phase Motor Control Training System with Manual Starter,,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_420-000.jpg,https://tech-labs.com/sites/default/files/product_images/W911SS011.jpg,https://tech-labs.com/sites/default/files/product_images/w904ss04.jpg,https://tech-labs.com/sites/default/files/product_images/W901SS01.jpg
3,"100A, Single Pole Circuit Breaker Cutaway",,https://tech-labs.com/sites/default/files/product_images/DAC_273-907-Close.jpg,https://tech-labs.com/sites/default/files/product_images/Amatrol-Skill-Boss-CPT%2B.jpeg,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC_front.jpeg,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC.jpg
4,3-Component Coupling Shaft Alignment Training System,,https://tech-labs.com/sites/default/files/product_images/DAC-206_0.jpg,https://tech-labs.com/sites/default/files/product_images/PCS_BPHS.png,https://tech-labs.com/sites/default/files/product_images/PCS_MOBILE-20.png,https://tech-labs.com/sites/default/files/product_images/PCS_MOBILE-40.png
5,3-Component Coupling Shaft Alignment Training System Plus,,https://tech-labs.com/sites/default/files/product_images/DAC-206.jpg,https://tech-labs.com/sites/default/files/product_images/603_dac_Left.jpg,https://tech-labs.com/sites/default/files/product_images/603_dac.jpg,https://tech-labs.com/sites/default/files/product_images/603_dac_front.jpg
6,3-Phase Motor Control Training System with Magnetic Starter,,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_423-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-601-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-601-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-601-Right.jpg
7,"3-Phase Motor Control Training System with Magnetic Starter, Low Voltage Star",,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000-right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-602-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-602-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-602-Front.jpg
8,3-Phase Motor Control Training System with Manual Starter,,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_422-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-510-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-510-FrontStand.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-510-Front.jpg
9,3-Variable Process Control Training System,,https://tech-labs.com/sites/default/files/product_images/DAC-601.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-551_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-551_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-551_Front.jpg
