,modelname,manufacturer,category,programurl,categoryinfo2,categoryinfo3
0,Axial Compressor Model,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/axial-compressor-model,DAC Models,"Pumps, Compressors & Valves"
1,1-Phase Motor Control Training System with Magnetic Starter,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/1-phase-motor-control-training-system-magnetic-starter,Electrical/Electronics,null
2,1-Phase Motor Control Training System with Manual Starter,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/1-phase-motor-control-training-system-manual-starter,Electrical/Electronics,null
3,"100A, Single Pole Circuit Breaker Cutaway",DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/100a-single-pole-circuit-breaker-cutaway,Electrical/Electronics,null
4,3-Component Coupling Shaft Alignment Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/3-component-coupling-shaft-alignment-training-system,Mechanical Drives,null
5,3-Component Coupling Shaft Alignment Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/3-component-coupling-shaft-alignment-training-system-plus,Mechanical Drives,null
6,3-Phase Motor Control Training System with Magnetic Starter,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/3-phase-motor-control-training-system-magnetic-starter,Electrical/Electronics,null
7,"3-Phase Motor Control Training System with Magnetic Starter, Low Voltage Star",DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/3-phase-motor-control-training-system-magnetic-starter-low-voltage-star,Electrical/Electronics,null
8,3-Phase Motor Control Training System with Manual Starter,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/3-phase-motor-control-training-system-manual-starter,Electrical/Electronics,null
9,3-Variable Process Control Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/3-variable-process-control-training-system,Process Control & Instrumentation,null
10,Furniture,null,DAC Worldwide Training Solutions,https://tech-labs.com/products/furniture,null,null
11,4-Variable Advanced Process Control Training System,DAC Worldwide,Process Control Training Systems,https://tech-labs.com/products/4-variable-advanced-process-control-training-system,DAC Training Systems,Process Control & Instrumentation
12,AC Variable Frequency Drive Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/ac-variable-frequency-drive-training-system-plus,Electrical/Electronics,null
13,ACR Liquid Line Filter/Drier Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-liquid-line-filterdrier-cutaway,DAC Cutaways,HVAC Cutaways
14,"ACR Liquid Line Filter/Drier Cutaway, Bi-Directional",DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-liquid-line-filterdrier-cutaway-bi-directional,DAC Cutaways,HVAC Cutaways
15,ACR Magnetic Check Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-magnetic-check-valve-cutaway,DAC Cutaways,HVAC Cutaways
16,ACR Manual Balancing Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-manual-balancing-valve-cutaway,DAC Cutaways,HVAC Cutaways
17,"ACR Oil Separator Cutaway, Float-Type",DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-oil-separator-cutaway-float-type,DAC Cutaways,HVAC Cutaways
18,"ACR Oil Separator Cutaway, Helical-Type",DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-oil-separator-cutaway-helical-type,DAC Cutaways,HVAC Cutaways
19,ACR Packless Diaphragm Line Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-packless-diaphragm-line-valve-cutaway,DAC Cutaways,HVAC Cutaways
20,ACR Solenoid Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-solenoid-valve-cutaway,DAC Cutaways,HVAC Cutaways
21,ACR Steel Ball Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-steel-ball-valve-cutaway,DAC Cutaways,HVAC Cutaways
22,ACR Straight-Thru Pressure Relief Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-straight-thru-pressure-relief-valve-cutaway,DAC Cutaways,HVAC Cutaways
23,ACR Suction Line Accumulator Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-suction-line-accumulator-cutaway,DAC Cutaways,HVAC Cutaways
24,"ACR Thermostatic Expansion Valve Cutaway, Fixed-Type",DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/acr-thermostatic-expansion-valve-cutaway-fixed-type,HVAC Cutaways,null
25,Adjustable Oil Field Choke Valve Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/adjustable-oil-field-choke-valve-cutaway,DAC Cutaways,Oil Production
26,Advanced Bearing Maintenance Trainer,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/advanced-bearing-maintenance-trainer,Mechanical Drives,null
27,Advanced Vibration Analysis Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/advanced-vibration-analysis-training-system-plus,Mechanical Drives,null
28,Air-Cooled (Fin-Fan) Heat Exchanger Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/air-cooled-fin-fan-heat-exchanger-model,Heat Transfer & Steam,null
29,Air-Operated Diaphragm Pump Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/air-operated-diaphragm-pump-dissectible,Dissectibles,"Pumps, Compressors & Valves"
30,Angled Disc Butterfly Valve Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/angled-disc-butterfly-valve-cutaway,DAC Cutaways,Oil Production
31,Annular Tube Heat Exchanger Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/annular-tube-heat-exchanger-model,Heat Transfer & Steam,null
32,ANSI Centrifugal Pump Dissectible (Goulds),DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/ansi-centrifugal-pump-dissectible-goulds,Dissectibles,"Pumps, Compressors & Valves"
33,Barrel Choke Valve Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/barrel-choke-valve-cutaway,DAC Cutaways,Oil Production
34,Basic Coupling/Shaft Alignment Trainer,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/basic-couplingshaft-alignment-trainer,Mechanical Drives,null
35,Basic Coupling/Shaft Alignment Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/basic-couplingshaft-alignment-training-system-plus,Mechanical Drives,null
36,null,DAC Worldwide,DAC Training Systems,#N/A,Mechanical Drives,null
37,Basic Precision Measurement Kit 1,DAC Worldwide,DAC Sample Boards,https://tech-labs.com/products/basic-precision-measurement-kit-1,Machining & Measurement,null
38,Batch Continuous Distillation,DAC Worldwide,Chemical Engineering,https://tech-labs.com/products/batch-continuous-distillation,null,null
39,Bearing Maintenance Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/bearing-maintenance-training-system,Mechanical Drives,null
40,Bearing Maintenance Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/bearing-maintenance-training-system-plus,Mechanical Drives,null
41,Bearing Maintenance Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/bearing-maintenance-training-system-plus,Mechanical Drives,null
42,Bearing Sample Board,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/bearing-sample-board,DAC Sample Boards,Sample Drives | Mechanical Drives
43,Belt Drive Training System,DAC Worldwide,Electrical/Electronics,https://tech-labs.com/products/belt-drive-training-system,Mechanical Drives,null
44,Belt Drive Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/belt-drive-training-system-plus,Mechanical Drives,null
45,Belt Sample Board,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/belt-sample-board,DAC Sample Boards,Sample Drives | Mechanical Drives
46,Benchtop Gas-Liquid Absorption,DAC Worldwide,Chemical Engineering,https://tech-labs.com/products/benchtop-gas-liquid-absorption,null,null
47,Bladder Accumulator Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/bladder-accumulator-cutaway,Fluid Power,null
48,Blowout Preventer (BOP) Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/blowout-preventer-bop-cutaway,DAC Cutaways,Oil Production
49,Boiler Tube Maintenance Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/boiler-tube-maintenance-training-system-plus,Heat Transfer & Steam,null
50,Boiler Tube Trainer,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/boiler-tube-trainer,Heat Transfer & Steam,null
51,Brake Clutch Trainer,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/brake-clutch-trainer,Mechanical Drives,null
52,Brake Clutch Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/brake-clutch-training-system-plus,Mechanical Drives,null
53,"Canned Sealless, Centrifugal Pump Dissectible",DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/canned-sealless-centrifugal-pump-dissectible,Dissectibles,"Pumps, Compressors & Valves"
