,modelname,category,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
0,Axial Compressor Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-211A.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-211A-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-211A-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-211A.jpg
1,1-Phase Motor Control Training System with Magnetic Starter,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_421-000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_421-000.jpg
2,1-Phase Motor Control Training System with Manual Starter,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_420-000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_420-000.jpg
3,"100A, Single Pole Circuit Breaker Cutaway",,null,https://tech-labs.com/sites/default/files/product_images/DAC_273-907-Close.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC_273-907.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_273-907-Close.jpg
4,3-Component Coupling Shaft Alignment Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-206_0.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-206_0.jpg
5,3-Component Coupling Shaft Alignment Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC-206.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-206.jpg
6,3-Phase Motor Control Training System with Magnetic Starter,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_423-000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_423-000.jpg
7,"3-Phase Motor Control Training System with Magnetic Starter, Low Voltage Star",,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000-right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000-left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_424-000-right.jpg
8,3-Phase Motor Control Training System with Manual Starter,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_422-000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_422-000.jpg
9,3-Variable Process Control Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-601.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-601_Back.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-601.jpg
10,Furniture,,null,https://tech-labs.com/sites/default/files/product_images/W901SS01.jpg,https://tech-labs.com/sites/default/files/product_images/W911SS011.jpg,https://tech-labs.com/sites/default/files/product_images/w904ss04.jpg,https://tech-labs.com/sites/default/files/product_images/W901SS01.jpg
11,4-Variable Advanced Process Control Training System,,null,https://tech-labs.com/sites/default/files/product_images/603_dac_front.jpg,https://tech-labs.com/sites/default/files/product_images/603_dac_Left.jpg,https://tech-labs.com/sites/default/files/product_images/603_dac.jpg,https://tech-labs.com/sites/default/files/product_images/603_dac_front.jpg
12,AC Variable Frequency Drive Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_429E.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_429E.jpg
13,ACR Liquid Line Filter/Drier Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-601-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-601-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-601-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-601-Right.jpg
14,"ACR Liquid Line Filter/Drier Cutaway, Bi-Directional",,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-602-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-602-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-602-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-602-Front.jpg
15,ACR Magnetic Check Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-510-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-510-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-510-FrontStand.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-510-Front.jpg
