,modelname,manufacturer,category,programurl
0,Surge Suppressor Model,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/surge-suppressor-model
1,Temperature Process Control Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/temperature-process-control-training-system-plus
2,Temperature Regulator Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/temperature-regulator-cutaway
3,Three-Phase Squirrel-Cage AC Motor Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/three-phase-squirrel-cage-ac-motor-cutaway
4,Three-Phase Squirrel-Cage Explosion-Proof AC Motor Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/three-phase-squirrel-cage-explosion-proof-ac-motor-cutaway
5,Three-Phase Transformer Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/three-phase-transformer-cutaway
6,Transformer Connections Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/transformer-connections-training-system
7,Treater Dump Valve Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/treater-dump-valve-cutaway
8,U-Tube Heat Exchanger Training Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/u-tube-heat-exchanger-training-model
9,Urethane Tire Coupling Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/urethane-tire-coupling-cutaway
10,Valve Packing Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/valve-packing-training-system
11,Valve Packing Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/valve-packing-training-system-plus
12,Variable Area Flow Meter Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/variable-area-flow-meter-dissectible
13,Variable Speed Gear Reducer Cutaway,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/variable-speed-gear-reducer-cutaway
14,Vertical Centrifugal Pump Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/vertical-centrifugal-pump-dissectible
15,Vertical Coupling / Shaft Alignment Training,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-coupling-shaft-alignment-training
16,Vertical Coupling Shaft Alignment Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-coupling-shaft-alignment-training-system-plus
17,Vertical Cross-Flow Separator Model,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/vertical-cross-flow-separator-model
18,Vertical Separator Trainer,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-separator-trainer
19,Vertical Separator Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-separator-training-system-plus
20,Vertical Thermosyphon Reboiler Heat Exchanger Training Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/vertical-thermosyphon-reboiler-heat-exchanger-training-model
21,Vibration Analysis Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vibration-analysis-training-system
22,Vibration Analysis Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vibration-analysis-training-system-plus
23,Water Tube Boiler Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/water-tube-boiler-model
24,Weld Fault Comparison Kit,DAC Worldwide,DAC Sample Boards,https://tech-labs.com/products/weld-fault-comparison-kit
25,Wellhead Backpressure Regulator Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/wellhead-backpressure-regulator-cutaway
26,Wrap-Spring Clutch Sample,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/wrap-spring-clutch-sample
